text,size,topic
nucleic_acid_detection_kit,11,1
amino_acids,48,1
nucleic_acid_extraction,12,1
fusion_protein,43,1
host_cell,12,1
immune_response,27,1
nucleic_acid_detection,62,1
gene_expression,12,1
nucleic_acid_molecule,10,1
nucleic_acid_sequence,44,1
nucleic_acid,257,1
amino_acid_sequence,522,1
amino_acid,686,1
nucleic_acids,29,1
antigen-binding_fragment,48,1
nucleotide_sequence,28,1
biological_sample,16,1
antigen_binding,34,1
sars-cov-2_virus,31,1
cell_surface,30,1
coding_sequence,13,1
molecular_weight,13,1
target_antigen,84,1
antigen_binding_fragment,16,1
binding_affinity,14,1
