text,size,topic
closed_multi-cell_component_automated_separation_system,10,8
medicine_biology,12,8
rapidly_separating_component_plasma,12,8
closed_multi-cell,10,8
rapidly_separating,12,8
closed_multi-cell_component_automated_separation,10,8
rapidly_separating_component,12,8
closed_multi-cell_component_automated,10,8
closed_multi-cell_component,10,8
